group,id_spec,WARP1,rho14_pencilsFINAL,WARP2,rho14_pensFINAL,rhoIND_pencils,rhoIND_pens
17,5,3,0,9,0,0.908228625534672,0.50220367926393
17,6,0,0,0,0,0.999999999909092,0.999999999909092
17,7,0,0,6,0,0.999999999909092,0.716283689537707
17,8,4,0,0,0,0.814093095255748,0.999999999909092
17,9,0,0,0,0,0.999999999909092,0.999999999909092
17,10,0,0,2,0,0.999999999909092,0.814093095204682
17,11,0,0,9,0,0.999999999909092,0.502203689772899
17,12,0,0,7,0,0.999999999909092,0.716283692448564
17,13,0,0,1,0,0.999999999909092,0.908228625550186
18,5,0,0,0,0,0.999999999909092,0.999999999909092
18,6,0,0,0,0,0.999999999909092,0.999999999909092
18,7,4,0,5,0,0.814093095315011,0.814093095312196
18,8,0,0,0,0,0.999999999909092,0.999999999909092
18,9,0,0,1,0,0.999999999909092,0.908228618545451
18,10,0,0,0,0,0.999999999909092,0.999999999909092
18,11,0,0,0,0,0.999999999909092,0.999999999909092
18,12,0,0,0,0,0.999999999909092,0.999999999909092
18,13,0,0,0,0,0.999999999909092,0.999999999909092
18,14,1,0,3,0,0.908228618545451,0.90822862548382
18,15,0,0,0,0,0.999999999909092,0.999999999909092
18,16,2,0,0,0,0.814093095205387,0.999999999909092
19,2,10,0,10,0,0.502203689710109,0.502203690375842
19,4,8,0,3,0,0.613066222756776,0.908228625535993
19,5,0,0,0,0,0.999999999909092,0.999999999909092
19,6,0,0,0,0,0.999999999909092,0.999999999909092
19,7,5,0,3,0,0.814093095285519,0.908228625535466
19,8,3,0,1,0,0.908228625475241,0.908228625549751
19,9,0,0,0,0,0.999999999909092,0.999999999909092
19,10,4,0,3,0,0.814093095317744,0.908228625474939
19,11,0,0,3,0,0.999999999909092,0.908228625535323
19,12,3,0,0,0,0.908228625534669,0.999999999909092
19,13,5,0,5,0,0.814093095229122,0.814093095223447
20,1,8,0,12,0,0.613066226406609,0.244680404717323
20,2,0,0,7,0,0.999999999909092,0.716283695366429
20,3,2,0,3,0,0.814093095205046,0.90822862547472
20,4,8,0,8,0,0.613066222508067,0.613066222774629
20,5,10,0,8,0,0.502203689786566,0.380748386117507
20,6,13,0,10,0,0.0882979916883632,0.380748388042575
20,7,0,0,0,0,0.999999999909092,0.999999999909092
20,8,0,0,1,0,0.999999999909092,0.908228625550161
21,1,6,0,7,0,0.71628369245402,0.716283695286261
21,2,10,0,9,0,0.502203689863963,0.502203679905366
21,3,6,0,9,0,0.716283695303083,0.502203679884126
21,4,5,0,4,0,0.814093095226306,0.814093095297601
21,5,6,0,10,0,0.716283695261156,0.502203689717067
21,6,5,0,11,0,0.814093095226306,0.380748386106306
21,7,0,0,3,0,0.999999999909092,0.908228618538516
21,8,0,0,0,0,0.999999999909092,0.999999999909092
21,9,9,0,8,0,0.502203690452456,0.61306622663925
21,10,9,0,6,0,0.613066224406538,0.716283693049785
21,11,0,0,0,0,0.999999999909092,0.999999999909092
21,12,11,0,13,0,0.244680404489898,0.0882979917793759
22,4,0,0,0,0,0.999999999909092,0.999999999909092
22,5,1,0,0,0,0.908228625549796,0.999999999909092
22,6,0,0,0,0,0.999999999909092,0.999999999909092
22,7,11,0,12,0,0.502203690386747,0.380748391905456
22,8,9,0,9,0,0.502203690371781,0.613066226436933
22,9,3,0,2,0,0.908228618537023,0.814093095207152
22,10,9,0,10,0,0.613066226415372,0.380748392507011
22,11,1,0,11,0,0.908228625550338,0.380748394178003
